job_link,last_processed_time,last_status,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type,job_skills
https://www.linkedin.com/jobs/view/senior-machine-learning-engineer-at-jobs-for-humanity-3804053819,2024-01-21 08:08:48.031964+00,Finished NER,t,t,f,senior machine learning engineer,Jobs for Humanity,"New Haven, CT",2024-01-14,East Haven,United States,Agricultural-Research Engineer,Mid senior,Onsite,"machine learning, programming, python, scala, java, data engineering, distributed computing, statistical modeling, optimization, data pipelines, cloud computing, devops, software development, data gathering, data preparation, data visualization, machine learning frameworks, scikitlearn, pytorch, dask, spark, tensorflow, distributed file systems, multi node database paradigms, open source ml software, responsible ai, explainable ai"
https://www.linkedin.com/jobs/view/senior-financial-data-analyst-at-the-walt-disney-company-3787686471,2024-01-21 07:14:50.991803+00,Finished NER,t,t,f,senior financial data analyst,The Walt Disney Company,"Lake Buena Vista, FL",2024-01-15,Avondale,United States,Budget Officer,Mid senior,Onsite,"problem solving, data analysis, predictive analysis, trend identification, performance monitoring, communication, reporting, financial risk management, business process analysis, excel, visio, smartsheet, snow, sap, tableau, sql, r, power bi, collaboration, leadership, bachelor's degree, professional certification, graduate degree"
https://www.linkedin.com/jobs/view/sr-workforce-management-data-analyst-at-wisemen-multimedia-llc-3756883410,2024-01-21 07:15:01.601597+00,Finished NER,t,t,f,sr. workforce management data analyst,"Wisemen Multimedia, LLC","Atlanta, GA",2024-01-13,Stockbridge,United States,Management Analyst,Mid senior,Onsite,"sql, database administration, advanced statistical analysis, predictive analytics, forecasting techniques, data abnormalities detection, contact workforce management, crossfunctional collaboration, performance analytics, business intelligence, root cause analysis, forecasting and scheduling, service level management, hindsight analysis, business communication, problemsolving, decisionmaking, excel, acd, backoffice work routing, wfm software, bachelor's degree in business accounting finance statistics or economics"
https://ca.linkedin.com/jobs/view/data-analyst-part-time-at-toyandsons-3757203932,2024-01-21 00:27:40.684771+00,Finished NER,t,t,f,data analyst part time,Toyandsons,"Waterloo, Ontario, Canada",2024-01-14,Stratford,Canada,Data Entry Clerk,Mid senior,Onsite,"data analysis, data visualization, statistical techniques, machine learning, data mining, sql, python, r, tableau, power bi, data modeling, data quality management, data processing, a/b testing, statistical modeling, hypothesis testing, data management, etl processes, business intelligence, datadriven decision making"
https://www.linkedin.com/jobs/view/contractor-epic-clarity-data-analyst-revenue-cycle-at-deloitte-3805724958,2024-01-21 07:16:15.96147+00,Finished NER,t,t,f,contractor - epic clarity data analyst - revenue cycle,Deloitte,"Mississippi, United States",2024-01-14,Magnolia,United States,Data Entry Clerk,Mid senior,Onsite,"revenue cycle, healthcare data analysis, data visualization, epic clarity reporting, sql, python, r, analytic methods, statistical methods, project management, agile development, communication skills, technical abilities, epic revenue cycle certification, certified health data analyst (chda) certification, bachelor of science degree, 4+ years of relevant experience, 2+ years of data analysis in healthcare, strong grasp of analytic and statistical methods, clinical experience, excellent written and oral communication skills, excellent organizational and analytical skills, strong technical abilities"
https://www.linkedin.com/jobs/view/vcp-design-to-value-project-manager-and-data-analyst-mr-at-ge-healthcare-3804602326,2024-01-21 08:02:01.538039+00,Finished NER,t,t,f,vcp design to value project manager and data analyst-mr,GE HealthCare,"Waukesha, WI",2024-01-14,Waterford,United States,Data Entry Clerk,Mid senior,Onsite,"variable cost productivity, data analytics, costbenefit analysis, return on investment analysis, product configuration management, locally sourced items, data mining, lean, six sigma, iso, cfda, sql, html, css, javascript, python, c++, java"
https://www.linkedin.com/jobs/view/data-scientist-at-futran-solutions-3713035221,2024-01-19 16:29:08.256242+00,Finished NER,t,t,f,data scientist,Futran Solutions,"Dallas, TX",2024-01-12,Arlington,United States,Biologist,Mid senior,Onsite,"data science, machine learning, artificial intelligence, data management, data analysis, data visualization, business intelligence, data mining, r, python, pytorch, tensorflow, model building"
https://uk.linkedin.com/jobs/view/senior-data-analyst-at-huws-gray-3806880530,2024-01-20 12:38:50.416771+00,Finished NER,t,t,f,senior data analyst,Huws Gray,"Awsworth, England, United Kingdom",2024-01-16,Derby,United Kingdom,Mathematician,Mid senior,Onsite,"data analysis, reporting, team management, data systems improvement, sql, tableau, excel, leadership, decision making, time management, communication, team work, annual leave, benefits, performance bonus, pension scheme, life assurance, colleague discount, training"
https://www.linkedin.com/jobs/view/data-scientist-at-rand-corporation-3799959396,2024-01-21 07:42:23.15769+00,Finished NER,t,t,f,data scientist,RAND Corporation,"Washington, DC",2024-01-16,Clinton,United States,Geophysicist,Mid senior,Onsite,"data management, statistical analysis, sas, r, simulation modeling, agentbased modeling, dynamic modeling, discrete event modeling, data science, health economics, healthcare, large language models, longitudinal surveys, statistical programming, medicare, medicaid, marketscan data, problem solving, interpersonal skills, communication skills, teamwork, statistics, biostatistics, quantitative analysis, u.s. citizenship, security clearance"
https://www.linkedin.com/jobs/view/sr-data-scientist-at-anser-3693346470,2024-01-21 07:43:06.562591+00,Finished NER,t,t,f,sr. data scientist,ANSER,"Washington, DC",2024-01-14,West Springfield,United States,Chemist,Mid senior,Onsite,"data analytics, data engineering, data mining, exploratory analysis, predictive analysis, statistical analysis, artificial intelligence, machine learning, data visualization, microsoft office (power bi), tableau, r, python, sql, multiint analytics, automated predictive analytics, ts/sci, master's degree, bachelor's degree, 12+ years of experience, 5+ years of related experience"
https://www.linkedin.com/jobs/view/staff-data-scientist-financial-strategy-at-stripe-3785926208,2024-01-21 08:05:39.24823+00,Finished NER,t,t,f,"staff data scientist, financial strategy",Stripe,"Seattle, WA",2024-01-16,Kent,United States,Geophysicist,Mid senior,Onsite,"data science, quantitative field, technical leadership, interdisciplinary collaboration, execution and velocity, research and statistical depth, scalable design, mentorship and development, forecasting systems, marketplace dynamics, experimental design and analysis, stakeholder alignment, metric frameworks, hybrid work, pay and benefits"
https://www.linkedin.com/jobs/view/contractor-epic-clarity-data-analyst-revenue-cycle-at-deloitte-3805731208,2024-01-21 08:17:36.039858+00,Finished NER,t,t,f,contractor - epic clarity data analyst - revenue cycle,Deloitte,"Georgia, United States",2024-01-14,Macon,United States,Tumor Registrar,Mid senior,Onsite,"data analysis, data extraction, data transformation, data visualization, data reporting, epic clarity reporting, sql, python, r, statistical methods, analytic methods, epic clarity data model certification, epic revenue cycle certification, certified health data analyst (chda) certification, project management, agile development, written communication, oral communication, organizational skills, analytical skills, technical skills, user observation, workflow analysis, clinical experience, healthcare data, revenue cycle operations, ehr systems, clinical teams, operational teams, senior leadership, datadriven solutions, user experience, informatics foundation, digital solutions, health system solutions"
https://www.linkedin.com/jobs/view/ra-qa-post-market-data-analyst-at-amick-brown-sap-cloud-technologies-and-business-intelligence-staffing-consulting-3755580476,2024-01-19 12:33:06.398315+00,Finished NER,t,t,f,ra/qa post market data analyst,"Amick Brown - SAP, Cloud Technologies and Business Intelligence Staffing & Consulting","California, United States",2024-01-14,California,United States,Job Analyst,Associate,Onsite,"data analytics, sql, tableau, data visualization, business requirements, data analysis, user documentation, data integration, report monitoring, test result documentation, statistics, mathematics, computer science, visual software, medical device, pharmaceutical, regulatory industry, erp systems, data exploration, presentation skills, writing skills, sap, crm"
https://www.linkedin.com/jobs/view/data-analyst-at-quantum-world-technologies-inc-3807032427,2024-01-20 04:40:12.553269+00,Finished NER,t,t,f,data analyst,Quantum World Technologies Inc.,"Mountain View, CA",2024-01-16,Santa Clara,United States,Operations-Research Analyst,Mid senior,Onsite,"sql, tableau, data analytics, bi, data manipulation, data visualization, data modeling, data mining, data warehouse design, data extraction, dashboards, data communication, data analysis, data interpretation, fintech"
https://www.linkedin.com/jobs/view/supply-chain-data-analyst-at-denso-3806857019,2024-01-20 00:56:45.960069+00,Finished NER,t,t,f,supply chain data analyst,DENSO,"Maryville, TN",2024-01-16,Louisville,United States,Mathematician,Mid senior,Onsite,"data engineering, data analysis, predictive modeling, data visualization tools, python, r, sql, tableau/domo, as400, erp systems, inventory management, forecasting, time series analysis, regression analysis, machine learning algorithms, communication skills, team collaboration"
https://www.linkedin.com/jobs/view/contractor-epic-clarity-data-analyst-revenue-cycle-at-deloitte-3805726859,2024-01-21 08:26:15.331957+00,Finished NER,t,t,f,contractor - epic clarity data analyst - revenue cycle,Deloitte,"Texas, United States",2024-01-16,Texas,United States,Mathematician,Mid senior,Onsite,"healthcare data analysis, data visualization, sql, python, r, statistical methods, epic clarity reporting, revenue cycle modules, project management, agile development, user observation, datadriven solutions, informatics, strategy documents, data dictionaries, communication skills, organizational skills, analytical skills, technical abilities"
https://ca.linkedin.com/jobs/view/customer-service-representative-data-analyst-data-entry-clerk-at-univisioncommunicationsinc-3757208247,2024-01-21 08:32:18.893551+00,Finished NER,t,t,f,customer service representative/data analyst/data entry clerk,Univisioncommunicationsinc,"Pictou, Nova Scotia, Canada",2024-01-14,Nova Scotia,Canada,Customer-Service Clerk,Mid senior,Onsite,"data analysis, statistics, machine learning, algorithms, a/b testing, data visualization, sql, r, python, tableau, power bi, data management, etl"
